"ProbeID" "X" "Y" "Z" "hemi" "rgbx" "rgby" "rgbz" "moda" "ROINb" "ROIlabel" "SumR2_ADNI1" "SumR2_ADNI2GO3" "SumR2_AIBL" "SumR2_UKB" "SumR2_AVERAGE"
"LogJacs_10_1020" 130.619568 101.571526 107.634766 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 731.473285044061 655.463998265491 746.816210610969 432.309259778508 641.515688424757
"LogJacs_10_1021" 145.383575 100.754532 107.247757 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 512.303676515264 422.080035257741 623.842427777485 409.024545565859 491.812671279087
"LogJacs_10_1022" 130.016571 102.024529 108.102753 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 725.013502470693 637.717530665196 720.653978297558 407.688033315939 622.768261187347
"LogJacs_10_1023" 129.931564 102.726524 107.562759 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 740.60095178719 636.40528669997 751.236759650436 413.727467233309 635.492616342726
"LogJacs_10_1024" 129.421555 103.408524 107.925766 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 674.80337067362 599.049480947239 740.928233493883 406.357305657574 605.284597693079
"LogJacs_10_1025" 147.421555 103.773529 108.411758 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 393.260554809434 390.576519321791 526.948795691137 377.588371785555 422.093560401979
"LogJacs_10_1026" 129.009552 104.145523 108.164764 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 533.577756379772 502.284939382278 654.048729268601 344.696387400504 508.651953107789
"LogJacs_10_1027" 128.679565 104.567528 108.532761 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 428.206248801867 403.474760408925 551.30839523923 275.82267780009 414.703020562528
"LogJacs_10_1028" 147.934555 106.084534 107.862747 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 364.939968653763 415.529286347406 439.441554708322 347.316327506727 391.806784304055
"LogJacs_10_1029" 147.960556 107.038536 107.963745 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 335.241988203087 386.890352432445 350.988591155972 309.154825294097 345.5689392714
"LogJacs_10_103" 148.190536 109.74353 97.817749 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 525.593943314363 540.493543934228 676.255916867914 515.22549597701 564.392225023379
"LogJacs_10_1030" 128.594559 106.233528 107.771759 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 402.137539807092 378.451210560936 515.438726029995 295.788164736333 397.953910283589
"LogJacs_10_1031" 147.953552 107.722534 108.335754 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 348.804920610277 378.362072986287 329.217436938338 310.695277899344 341.769927108561
"LogJacs_10_1032" 128.382553 107.213524 107.792755 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 387.590144090344 367.016583984231 488.912666944269 310.997545329597 388.62923508711
"LogJacs_10_1033" 147.960556 108.64753 108.617752 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 378.403811842898 358.573950281837 303.960178076313 316.133806504785 339.267936676458
"LogJacs_10_1034" 128.222565 108.336525 107.762756 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 429.07173211682 436.347588161951 505.347030309223 400.349046211881 442.778849199969
"LogJacs_10_1035" 127.949554 108.935524 108.36676 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 447.981320206166 462.484620656877 485.85699407209 436.010898675231 458.083458402591
"LogJacs_10_1036" 147.969559 109.625534 108.780746 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 415.924649154449 333.415325023723 304.411526493209 320.686589311161 343.609522495636
"LogJacs_10_1037" 128.21756 109.423523 107.548767 "lh" 0 118 14 "LogJacs" 10 "Left-Thalamus-Proper" 451.231962845073 457.684057559957 479.248999780536 436.683731325107 456.212187877668
